continent,country,notes
AMERICA,Canada,"Beginning in the late 15th century French and British expeditions explored, and later settled, along the Atlantic coast. France ceded nearly all of its colonies in North America to Britain in 1763 after the Seven Years' War.  The rebellions of 1837 against the British colonial government took place in both Upper and Lower Canada that impulse the amalgamation of Upper and Lower Canada for the deliberate assimilation of the French-speaking population. The Canadas were merged into a single colony, the United Province of Canada, by the 1840 Act of Union, and responsible government was achieved in 1848, but real formation of modern Canada arrived only with the formation of the Dominion of Canada on July 1, 1867. In 1866, the Colony of British Columbia and the Colony of Vancouver Island merged into a single Colony of British Columbia, until their incorporation into the Canadian Confederation in 1871.  In 1873, Prince Edward Island, the Maritime colony that had opted not to join Confederation in 1867, was admitted into the country union of three British North American colonies through Confederation, Canada was formed as a federal dominion of four provinces.  We get data on trade at current prices from Danson (1849) for 1827-1846, and from United Kingdom (colonies) Statistical Yearbook as sum of Canada (Ports of Quebec and Montreal), Nova Scotia and Cape Breton, New Brunswick and Prince Edward Island 1847-1867, and from Historical Statistics Canada after 1868. We extrapolate exports backwards to 1816 with British imports from from Nothern British colonies 1816 to 1826, from Umited Kingdom Yearbooks 1830. We deflate with Federico-Tena price indexes until 1868 and with indexes from Historical Statistics Canada (series G.386 and G387) from 1869 to 1938."
AMERICA,Chile,"By the 16th century, Spanish conquistadors began to subdue and colonize the region of present-day Chile, and the territory became a colony between 1540 and 1818, when it gained independence from Spain. A declaration of independence was officially issued by Chile on February 12, 1818 and formally recognized by Spain in 1840, when full diplomatic relations were established. As a result of the War of the Pacific with Peru and Bolivia (1879–1883), Chile expanded its territory northward by almost one-third and acquired valuable nitrate deposits, the exploitation of which led to an era of national affluence. We use the series by Díaz, J.; Lüders. R. y Wagner, G. (2016) in current dollars from 1810 to 1938. We use constant prices and implicit export prices for export offered too in Díaz, J.; Lüders. R. y Wagner, G. (2016) Series 5001/5011. In contrast, we deflate imports with Federico-Tena price index because it is more accurate than that used by Díaz, J et al."
AMERICA,Colombia,"In 1549, the institution of the Spanish Royal Audiencia in Bogotá gave that city the status of capital of New Granada, which comprised in large part what is now territory of Colombia. This Viceroyalty included some other provinces of northwestern South America which had previously been under the jurisdiction of the Viceroyalties of New Spain or Peru and correspond mainly to today's Venezuela, Ecuador and Panama. So, Bogotá became one of the principal administrative centers of the Spanish possessions in the New World, along with Lima and Mexico City. Political independence from Spain was got after a quick military campaign leaded by Simón Bolibar that ended at the Battle of Boyacá, on August 7, 1819. That year, the Congress of Angostura established the Republic of Gran Colombia, which included all territories under jurisdiction of the former Viceroyalty of New Granada. The Federation of Gran Colombia was dissolved in 1830, and became a new country, the Republic of New Granada (re-named Colombia since 1863). We obtain export and import current series extrapolating several years fom 1832 for imports and 1835 for exports to 1904 in pesos oro (equivalent to one US dollar), converting from fiscal to calendar years from the data offered by Ocampo (1983). For previous years we estimate current exports 1818-1835 as sum of recorded imports from Colombia in the official statistics of United Kingdom, France and United Stated. From 1905 for exports and imports we use GRECO (2002) series in US $.  We deflate exports with a Federico-Tena price index 1818-1845 and imports with the Federico-Tena Peru import price index 1830 to 1845. For the years 1845-1904 we use the respective export and import price indexes offred by Ocampo (1983) (for exports Table 3.4, p. 96 and for imports Table. 2.5 p.95, except for the years 1869-1880, with no data in Ocampo, that we linked Ocampo with the weighted export price index share of UK, France and USA according Colombia country import geographical distribution).  Later, for 1905-1938, we use export and import price indexes from GRECO (2002). We estimate trade at 1913 borders, excluding Panama bilateral trade from Colombia from the Special trade series from 1906 (year of the Panama Independence) to 1818in exports and 1830 on imports.  We use a fix percentage respectively for exports (0.6%) and imports (0.14%) a long the series, that is the result of the average of the respective exports and imports Colombian-Panama bilateral trade average from 1922-1933 (from Colombia Yearlybook (1933, p.324)."
AMERICA,Costa Rica,"During most of the colonial period, Costa Rica was the southernmost province of the Captaincy General of Guatemala, which was nominally part of the Viceroyalty of New Spain (i.e., Mexico), but which in practice operated as a largely autonomous entity within the Spanish Empire. In New Spain, all of the fighting by those seeking independence was done in the center of that area from 1810 to 1821, what today is central Mexico. Once the Viceroy was defeated in the capital city –today Mexico City- in 1821, the news of independence was sent to all the territories of New Spain including the Intendancies of the former Captaincy of Guatemala; accepting this as a fact, Costa Rica joined the other Central American Intendancies in a joint declaration of independence from Spain. Following independence, Costa Ricans found themselves with no regular trade routes to get their coffee to European markets until it was reestablished in 1843. We piece together a series of trade at current prices in million gold pesos from León Saenz, Jorje (1997 Cuadro 1, pp.323-324) for 1820-1900 and MOXLAD 1901-1938 in dollars. We deflate imports 1850-1938 and exports 1820-1939 with Federico-Tena price indexes, while for imports 1820-1849 we use the Federico-Tena Cuba import price index."
AMERICA,Cuba,"Spanish trade laws made it difficult for Cubans to keep up with the 17th and 18th century advances in processing sugar cane pioneered in British Barbados and French Saint Domingue (Haiti). Spain also restricted Cuba's access to the slave trade, which was dominated by the British, French, and Dutch. As a result of the political upheavals caused by the Iberian Peninsula War and the removal of Ferdinand VII from the Spanish throne, a separatist rebellion emerged among the Cuban Creole aristocracy in 1809 and 1810. The main reason for the lack of support for these efforts was that the vast majority of Creoles, especially the plantation owners, rejected any kind of separatism, considering Spain's power essential to the maintenance of slavery. Following the 1868–1878 rebellion of the Ten Years' War, all slavery was abolished by 1886, making Cuba the second-to-last country in the Western Hemisphere to abolish slavery, with Brazil being the last. By 1860, Cuba was devoted to growing sugar, having to import all other necessary goods. Cuba was particularly dependent on the United States, which bought 80 percent of its sugar. The Cuban struggle for independence was long but it was decisive the US Congress declaration of war to Spain on 19 April 1898 to liberate Cuba after the battleship US Maine exploded in the Havana. After losing the Philippines and Puerto Rico, which had also been invaded by the United States, and with no hope of holding on to Cuba, Spain surrended on 17 July 1898. We estimate trade at current prices before 1902 in two steps. First, we use Schroeder  (1982 Table XIV) for 1803-1816 and 1826-1862  and 1899-1901 and in million pesos Fuertes and Neumann-Spallart (1887) for 1876-1882, in Deutche marks. We fill gaps in the resulting series with the sume of the bilateral imports trends of France, United Kingdom and the United States with Cuba. Since 1902, as Zanetti (1975), we use the series from Ministerio de Estado (1949 p. 289) in millions pesos. We assume the ‘peso fuerte’ to be equivalent to one dollar before 1900, and the marks exchange rate and the pesos/USdollar from Appendix F. We deflate with Federico-Tena price indexes before 1901 and with price indexes from MOXLAD after 1902."
AMERICA,Danish Virgin Island,"Also spelled Danish Antilles was a Danish colony in the Caribbean, first under the United Kingdoms of Denmark-Norway and later, after the 1814 Treaty of Kiel, Denmark alone. The islands were sold to the United States in 1916 under the terms of the Treaty of the Danish West Indies and were organized as the United States Virgin Islands in 1917. According Bulmer-Thomas re-exports were particularly important for Danish Virgin Island. We get all data from Bulmer-Thomas (2012) – Tables A.11 and C.6 for domestic exports at current prices, A.25 and C.20 for retained imports at current prices. We deflate with the implicit price index obtained from A.14 and A.26 exports and imports at 1860 prices (interpolating between benchmark years) and C.9 and C.21 for exports and imports at 1930 prices."
AMERICA,Dominican Republic,"After three centuries of Spanish rule, with French and Haitian interludes, the country became independent in 1821. The ruler, José Núñez de Cáceres, intended that the Dominican Republic be part of the nation of Gran Colombia, but he was quickly removed by the Haitian government occupation and ""Dominican"" slave revolts. Victorious in the Dominican War of Independence from Haiti in 1844, Dominicans experienced mostly internal strife, and also a brief return to Spanish rule in 1861-65. Our main sources for trade at current prices are the United Kingdom (foreign countries). Statistical Yearbook, which reports data of exports and imports for 1846-1856 in pounds, and Mitchell (2007) which provides data for 1868-1872 (imports only), 1872, 1880-85, 1887, 1889-94, 1896-98 and 1905-1938 in gold pesos. We extrapolate backwards to 1820 the 1846 data with the sum of imports from the Dominican Republic in the United Kingdom, France, United States and Belgium, while we fill the gaps in the Mitchell series with linear interpolation. We deflate with Federico-Tena price indexes."
AMERICA,Duch Antilles,"The Netherlands Antilles consisted of two island groups, both in the Lesser Antilles. The ABC islands of Aruba, Bonaire, and Curaçao are in the Leeward Antilles just off the Venezuelan coast, and the SSS islands of Saint Maarten (actually a territory covering approximately half an island), Saba, and Saint Eustatius are in the Leeward Islands southeast of the Virgin Islands. The total of six islands were colonized by the Dutch in the 17th century and from 1815 onwards, Curaçao and Dependencies formed a colony of the Kingdom of the Netherlands. Slavery was abolished in 1863, and in 1865 a government regulation for Curaçao was enacted that allowed for some very limited autonomy for the colony. According Bulmer-Thomas re-exports were particularly important for Duch Antillles. We get all data from Bulmer-Thomas (2012) – Tables A.11 and C.6 for domestic exports at current prices, A.25 and C.20 for retained imports at current prices. We deflate with the implicit price index obtained from  A.14 and A.26 exports and imports at 1860 prices (interpolating between benchmark years) and C.9 and C.21 for exports and imports at 1930 prices."
AMERICA,Ecuador,"Between 1544 and 1563, Ecuador was an integral Spain's colonies in the New World under the Viceroyalty of Peru, having no administrative status independent of Lima. It remained a part of the Viceroyalty of Peru until 1720, when it joined the newly created Viceroyalty of New Granada.  Ecuador's struggle for emancipation from Spain began in Guayaquil, where independence of the city from Spanish rule was proclaimed in October 1820. Ecuador joined Simón Bolívar's Republic of Gran Colombia – joining with modern-day Colombia and Venezuela. In 1830 it separated from those nations and became an independent republic. We build our series at current prices with data from United Kingdom (foreign countries). Statistical Yearbook for 1848-1849, and 1855-1865.  We interpolate from 1865 to 1882 for exports and 1884 for import. Finally, and we use Mitchell (2007) for 1883-1893, 1896-1938 for exports and: 1884,1889-1893 and 1897-1938 for imports, in million Sucres, with interpolation between years.[9]  We have extrapolated exports backwards from 1848 to 1820 with general current imports average of United Kingdom, France, United States and Spain. We deflate exports 1820-1938 with Federico-Tena price indexes and imports 1848-1938 with the Federico-Tena import price index for Peru."
AMERICA,El Salvador,"During the colonial period, El Salvador was part of the Captaincy General of Guatemala, also known as the Kingdom of Guatemala (Spanish: Reino de Guatemala), created in 1609 as an administrative division of New Spain.  On September 15, 1821, in light of unrest in Guatemala, Spanish authorities capitulated and signed the Acta de Independencia (Deed of Independence) which released all of the Captaincy of Guatemala (comprising current territories of Guatemala, El Salvador, Honduras, Nicaragua and Costa Rica and the Mexican state of Chiapas) from Spanish rule and declared its independence.  In 1821, El Salvador joined Costa Rica, Guatemala, Honduras and Nicaragua in a union named the Federal Republic of Central America. When the Federal Republic of Central America dissolved in 1841, El Salvador maintained its own government. We get series in current pesos from Schoonover (1989, Tables 19-20, pp.114-117) for 1818-1900 for exports (interpolating from 1835 to 1845 and from 1894 onwards) and for 1845-1900 for imports (interpolating to 1901) and from Mitchell (2007) for 1901-1938 [10]. Until 1900, one peso exchanged for one dollar (Schoonover 1989), while afterwards we get exchange rates from MOXLAD. We deflate exports with Federico-Tena price indexes, proxying import prices 1845-1850 with the index for Cuba."
AMERICA,Falkland Island,"At various times, the islands have had French, British, Spanish, and Argentine settlements. Britain re-established its rule in 1833, though the islands continue to be claimed by Argentina but in 1840 the Falklands officially became a Crown British Colony until today. The source of data is the United Kingdom (colonies) Statistical Yearbook, which report yearly data since 1853 to 1938. We use 1913 re-exports data percentage (0.12%) as a fix percentage to be deducted along both series. From 1853 to 1820 we move exports an imports following Argentine respective series. We deflate also using Argentine exports and import price index."
AMERICA,French Guiana,"Following the Treaty of Breda on 31 July 1667 the area was given back to France.  In 1848 France abolished slavery and in 1853, gold was discovered in the interior, precipitating border disputes with Brazil and Suriname (these were later settled in 1891, 1899 and 1915, though a small region of the border with Suriname remains in dispute). We get series of trade at current prices in French francs from France. Statistical Yearbook (1939) since 1881 and Statistical Yearbook. France (colonies) Tableau, for the years 1821-1880. This source before 1841 reports only bilateral trade trends export and imports with France that we use to move the series backwards to 1821 from 1841 bases. As France series of exports and imports from 1847 backwards are valued in fixed prices we reflate that series to get current prices using French Guiana Federico-Tena exports and imports respective price index. Then We deflate imports and exports from 1820-1938 with the same exports and imports price index, with the exception of imports 1850-1820 that we use Federico-Tena Jamaica imports price indexes."
AMERICA,Granada (Winward Island),"Control of the island was disputed by Great Britain and France in the 18th century, with the British ultimately prevailing. Slavery was abolished in the 1830s. In 1885, the island became the capital of the British Windward Islands. We piece together a series of trade at current prices from Danson (1849) for 1827-1846, United Kingdom (colonies) Statistical Yearbook for 1853-1938. [11] We interpolate linearly the figures in 1847-1852 and we we extrapolate exports to 1816 with British imports from the West Indies 1816 to 1826, from United Kingdom Yearbooks 1830. We subtract re-exports according to the data from United Kingdom (colonies) Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 0.5% -  a bit lower than the share after the war)  for the years before 1913. We deflate imports 1827-1849 with the Federico-Tena Jamaica price index and all other figures with the Federico-Tena indexes for Trinidad and Tobago."
AMERICA,Guadalupe,"Guadeloupe was royally annexed into the Kingdom of France in 1674. In 1714, the French general government of the American islands divided in two, and Guadeloupe was placed under the control of the governor on Martinique. The British again held the island for three years beginning in 1810. It was ceded to Sweden in 1813 before French control of the island was recognized in the Treaty of Vienna in 1815. In 1848, slavery was abolished completely.  We get series of trade at current prices in French francs from France. Statistical Yearbook (1939) since 1881 and Statistical Yearbook. France (colonies) Tableau, for the years 1821-1880. This source before 1841 reports only bilateral trade trends export and imports with France that we use to move the series backwards to 1821 from 1841 bases. As France series of exports and imports from 1847 backwards are valued in fixed prices we reflate that series to get current prices using Guadalupe Federico-Tena exports and Jamaica imports respective price index. Then we deflate imports before 1850 with the previous index and imports and exports since 1850 with the respective Federico-Tena price indexes for Guadalupe."
AMERICA,Guatemala,"Conquered Guatemala was part of the Spanish Empire for nearly 300 years until it became independent in 1821. It was first part of the First Mexican Empire (1821–23), for a period it belonged to a federation called the United Provinces of Central America, until becoming fully independent in the 1840s. We use the series by Schoonover (1989, Tables 19-20, pp.114-117) in current pesos for 1835-1900 for exports and for 1839-1900 for imports and by Mitchell (2007) for 1901-1938. [12] We extrapolate exports in 1831-1835 with the series for British Honduras and imports to 1818 with the imports from Guatemala to United Kingdom offered  in Trade Staristics United Kingdom .  Until 1900, one peso exchanged for one dollar (Schoonover 1989), while afterwards we get exchange rates from MOXLAD. We deflate exports with Federico-Tena price indexes, proxying the import price 1839-1850 with the Federico-Tena index for Cuba."
AMERICA,Haiti,"In 1664, the newly established French West India Company took control of the new colony, and France formally claimed control of the western portion of the island of Hispaniola.  In 1665 they established a French settlement on the mainland of Hispaniola opposite Tortuga at Port-de-Paix. Under the 1697 Treaty of Ryswick, Spain officially ceded the western third of Hispaniola to France which renamed the colony Saint-Domingue. By that time, planters outnumbered buccaneers and, with the encouragement of Louis XIV, they had begun to grow tobacco, indigo, cotton, and cacao on the fertile northern plain, thus prompting the importation of African slaves. The labor for these plantations was provided by an estimated 790,000 African slaves (accounting in 1783–91 for a third of the entire Atlantic slave trade). When it gained independence in 1804, it was the first independent nation of Latin America and the Caribbean, the first black-led republic in the world, the second republic and the only predominantly Francophone independent nation in the Americas. We get all series from Bulmer-Thomas (2012), who estimates exports since 1817 and imports since 1820 at current and constant prices."
AMERICA,Honduras,"Honduras was organized as a province of the ""Kingdom of Guatemala"" and the capital was fixed, first at Trujillo on the Atlantic coast. Honduras became independent from Spain in 1821 and was for a time part of the First Mexican Empire until 1823 when it became part of the United Provinces of Central America federation. After 1838 it was an independent republic. We use the series by Schoonover (1989, Tables 19-20, pp.114-117) in current pesos for 1835-1900 for exports and for 1839-1900 for imports and by Mitchell (2007) for 1901-1938 [13]. We extrapolate exports in 1831-1835 with the series for British Honduras and to 1818 with United Kingdom imports from Guatemala.  Exchange rate Until 1900, is (Schoonover 1989) asumtion of one peso exchanged for one dollar, while afterwards we get exchange rates from MOXLAD. We deflate exports with Federico-Tena price indexes, proxying the import price 1839-1850 with the Federico-Tena index for Cuba."
AMERICA,Jamaica,"The Spanish settled in Jamaica in 1509, the third largest Caribbean island, and held the island against many privateer raids before Jamaica was conquered by the English, in 1655, although the Spanish did not relinquish their claim to the island until 1670.  By the eighteenth century, sugarcane became the most important export of the island. Until slavery was abolished by Parliament in 1833, the island sugar plantations were highly dependent on slave labor. The British also used Jamaica's free people of color, 10,000 strong by 1800, to keep the enslaved population in check. The Jamaican slaves were bound (indentured) to their former owners' service, albeit with a guarantee of rights, until 1838 under what was called the Apprenticeship System. The freed population faced significant hardships. We piece together a series of trade at current prices from Danson (1849) for 1827-1846, United Kingdom (colonies) Statistical Yearbook for 1853-1938.[14]  We interpolate the series from 1847 to 1852 and we extrapolate exports to 1816 with British imports from the West Indies 1816 to 1826, from United Kingdom Yearbooks 1830. We subtract re-exports according to the data from United Kingdom (colonies) Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 1.4% -  a bit lower than the share after the war) for the years before 1913. We deflate imports and exports before 1885 with Federico-Tena indexes and thereafter with Fisher price indexes from Birnberg and Resnick (1975 tab A 26). Leeward Islands (Antigua, Dominica, St.Christopher, Montserrat, Nevis, Virgin Island) The British Leeward Islands was a British colony existing between 1833 and 1960, and consisting of Antigua, Barbuda, the British Virgin Islands, Montserrat, Saint Kitts, Nevis, Anguilla and (to 1940) Dominica. The previous colony of the Leeward Islands had existed since 1671, but in 1816 it was divided in two, with Antigua, Barbuda and Montserrat in one colony, and Saint Christopher, Nevis, Anguilla, and the Virgin Islands in another. We piece together a series of trade at current prices from Danson (1849) for 1827-1846, United Kingdom (colonies) Statistical Yearbook for 1853-1938 [15].  We interpolate linearly the figures in 1847-1852 and we extrapolate exports to 1816 with British imports from the West Indies 1816 to 1826, from United Kingdom Yearbooks 1830. We subtract re-exports according to the data from United Kingdom (colonies) Statistical yearbook in 1913 and since 1922, using the 1913 figure (ca 9% -  a bit higher than the share after the war) for the years before 1913. We deflate imports 1827-1849 with the Federico-Tena Jamaica price index and all other figures with the Federico-Tena indexes for Trinidad and Tobago."
AMERICA,Martinique (French Colonies),"Martinique was charted by Columbus in 1493, but Spain had little interest in the territory. Martinique was occupied several times by the British, including once during the Seven Years' War and twice during the Napoleonic Wars at the conclusion it was traded back to France. Martinique has remained a French possession since then. We get series of trade at current prices in French francs from France. Statistical Yearbook (1939) since 1881 and Statistical Yearbook. France (colonies) Tableau, for the years 1821-1880. This source before 1841 reports only bilateral trade trends export and imports with France that we use to move the series backwards to 1821 from 1841 bases. As France series of exports and imports from 1847 backwards are valued in fixed prices we reflate that series to get current prices using Martinica Federico-Tena exports and Jamaica imports respective price index. Then we deflate imports before 1850 with the Federico-Tena price index for Jamaica, and since 1850 to 1938 imports and exports with Federico-Tena price indexes for Martinique."
AMERICA,Mexico,"From 1519, the Spaniards absorbed the Mexican native peoples into Spain's vast colonial empire for three centuries. During this period, Mexico was part of the much larger Viceroyalty of New Spain, which included Cuba, Puerto Rico, Central America as far south as Costa Rica, the southwestern United States including Florida, and the Philippines.  After a protracted struggle Mexico declared its independence from Spain on Sept. 27, 1821, after independence, Mexican politics was chaotic, with the presidency changing hands 75 times in the next 55 years (1821–76), the Mexican American War of 1846, with Mexico ceding almost half of its territory to the United States or later in the 19th century France invasion of Mexico (1861) setting Maximilian I on the Mexican throne until 1867. We get data at current prices from fourth different sources: first, for the years1800-1820 from the Historical Statistics. Mexico (Table 19.2. pp.810-811), which we adjust from fiscal to calendar year; second, for 1821-1869 from the estimations for export and imports current data from Kuntz&Tena (forthcoming), for 1870-1929 from Kuntz-Fiker (2007 Cuadro A.3 and A.5 pp. 470 and 475) and fourth, from 1930-1938 from League of Nations (1925). Memorandum on International Trade and Balance of Payments 1910-1924, Volume II (edt.1925): and 1913-1927, Volume II (edt. 1929):  Trade Statistics of sixty-four countries. Economic and Financial Section, Geneva. League of Nations (1933,1936, 1938). International Trade Statistics. (ad annum). Economic Intelligence Service, Geneva. Following the literature recommendations we have included bullion and spice in the especial trade coverage along the export series. From 1800 to 1870 silver and gold exports according Kuntz-Tena (forthcoming) represented between 70 to 90 per cent of total exports. As late as 1930´s this practice is recommended by League of Nations (1933-38). We deflate imports 1800-1850 with the Federico-Tena Chile import price index and for imports 1850-1870 and exports 1800-1870 with Kuntz-Tena indexes for Mexico; imports and exports 1870-1929  with the respective indexes offered by Kuntz-Fiker  (2007, Cuadro B.1, pp.495-96) and imports and exports 1929-1938 with unit values index from MOXLAD"
AMERICA,New Foundland,"Is now the Canadian province of Newfoundland and Labrador. In the Treaty of Utrecht (1713), France acknowledged British ownership of the island but French fishermen were given the right to land and cure fish on the ""French Shore"" on the western coast. Newfoundland received a colonial assembly in 1832, which was and still is referred to as the House of Assembly. Canada and Nova Scotia obtained ""responsible"" government in 1848 (whereby the assembly had the final word, not the royal governor), and Newfoundland followed in 1855 when self-government was a reality. Newfoundland remained a colony until acquiring dominion status on 26 September 1907, along with New Zealand. We piece together a series of trade at current prices from Danson (1849) for 1827-1846, United Kingdom (colonies) Statistical Yearbook for 1853-1938.[18]  We interpolate linearly the figures in 1847-1852 and we extrapolate exports backwards to 1816 with British imports from Nothern British colonies 1816 to 1826, from Umited Kingdom Yearbooks 1830. We deflate imports with Federico-Tena  price indexes for 1850-1938 and exports with Federico-Tena  price indexes for 1800-1938."
AMERICA,Nicaragua,"Nicaragua was first discovered by Europeans when Christopher Columbus arrived from Honduras and explored the eastern coast on his fourth voyage in 1502.  In 1538, the Viceroyalty of New Spain was established, encompassing all of Mexico and Central America, except Panama. Nicaragua became a part of the First Mexican Empire and then gained its independence as a part of the United Provinces of Central America in 1821, then as an independent republic in its own right in 1838. We join the series at current prices for 1841 to 1899 by Schoonover (1989 Tables 19-20, pp114-117) and from 1899 to 1938 by Mitchell (2007). Both sources report data in pesos, which we assume to be equivalent to dollars. We extrapolate backwards exports to 1820 following the series for Guatemala. We deflate imports 1841 -1849 with Federico-Tena price indexes for  Cuba and all other data with Federico-Tena price indexes for Nicaragua."
AMERICA,Panama,"Panama was part of the the Viceroyalty of New Granada (northern South America. In 1819 the liberation of New Granada (Colombia) was achieved, finally gaining its freedom from Spain. Panama and the other regions of former New Granada were therefore technically free. The union between Panama and the Republic of New Granada (Colombia) was made possible by the active participation of U.S.A. under the 1846 Bidlack Mallarino treaty until 1903. The extensive list of interventions by the U.S. armed forces had made in Panama since 1850 and the final Panama Canal construction by the U.S. Army Corps of Engineers between 1904 and 1914 helps to explain Panama political independence of Colombia came in 1906. We use current price trade data from 1906 to 1938 from Mitchell (2007) that is the same data than that offered by MOXLAD in balboas.  We get the exchange rate between balboas and dollars from Global Financial Data (that assume 1/1 exchange rate for the whole period very close to that offred by MOXLAD). We deflate with Federico-Tena export and import price indexes."
AMERICA,Paraguay,"In 1542, Paraguay became part of the newly established Viceroyalty of Peru, with its seat in Lima. Beginning in 1559, the Audiencia of Charcas (present-day Sucre) controlled the province's legal affairs. Buenos Aires, is made in 1776 the capital of the new viceroyalty of La Plata. Resentment of the pretensions of the new capital is no doubt part of the reason why the citizens of Asunción refuse to join Buenos Aires in 1810 in its declaration of independence from Spain.  Far from bolstering the cabildo's position, this move instantly ignited an uprising and the overthrow of Spanish authority in Paraguay on May 14 and 15, 1811. We use current price trade data for imports and exports from Mitchell (2007) in thousand gold pesos from 1879 to 1938 and we extrapolate backwards them to 1820 with the series of Brazil. We deflate with the Federico-Tena price indexes for Brazil from 1820 to 1850 and with Federico -Tena price indexes for Paraguay from 1850 to 1938."
AMERICA,Peru,"It was conquered by the Spanish Empire in the 16th century, which established a Viceroyalty with jurisdiction over most of its South American domains. The nation declared independence from Spain in 1821 but consolidated only after the Battle of Ayacucho, three years later. Spain made futile attempts to regain its former colonies, such as at the Battle of Callao, and only in 1879 finally recognized Peruvian independence. Mitchell (2007) reports scattered data on imports and exports at current prices in millions pesos (soles since 1863) for some years from 1821 to 1878 and a continuous series from 1883 to 1938, interpolating the missing values and converting from local currency into dollars with Global Financial data. For current exports we have preferred the recent estimation of Zegarra (forthcoming) from 1830-1930, extending backward to 1800 and forward to 1938 following Seminario (2015).  We deflate imports and exports from 1800 to 1938 with Federico-Tena price indexes, except for exports 1830-1930 that we use Zegarra (forthcoming) export price index from Appendix) that is and adjustment of the quantum index by Hunt (1973, Table 9, p.28)."
AMERICA,Puerto Rico,"Throughout most of the 19th century, and until the conclusion of the Spanish–American War in 1898, Porto Rico and Cuba were the last two Spanish colonies in the Americas. We get all data from Bulmer-Thomas (2012) – Tables A.11 for domestic exports at current prices, A.25 for retained imports at current prices. We used implicit price index from Tables A.14 and A.26 for exports and imports at 1860 prices (interpolating between benchmark years). Our series ends in 1900 because since 1901 trade of Porto Rico is included in the American statistics. St. Barthelemy (Norvegian Colonies) The island was given to Sweden in 1784 in exchange for trade rights in Gothenburg. Following a referendum in 1877, Sweden gave the island back to France in 1878, after which it was administered as part of Guadeloupe. We offer data only for 1820 to 1870. All data are taken from Bulmer Thomas (2012) Tables A.11 for domestic exports at current prices, A.25 for retained imports at current prices. We used implicit price index from Tables A.14 and A.26 for exports and imports at 1860 prices (interpolating between benchmark years). St. Vincent (Winward Island) While the English were the first to lay claim to St. Vincent in 1627, the French centered on the island of Martinique would be the first European settlers on the island in 1719 and finally regained by the British under the Treaty of Versailles (1783). St. Vincent passed through various stages of colonial status under the British before a Crown Colony government was installed in 1877. Decades after the success of the Haitian Revolution, the British abolished slavery in 1834. The resulting labour shortages on the plantations attracted Portuguese immigrants in the 1840s and East Indians in the 1860s as laborers. We get data of trade at current prices from Danson (1849) for 1827-1846, United Kingdom (colonies) Statistical Yearbook for 1853-1938. We interpolate linearly the figures in 1847-1852 and we extrapolate exports to 1816 with British imports from the West Indies 1816 to 1826, from United Kingdom Yearbooks 1830 and from United Kingdom (colonies) Statistical Yearbook from 1853 to 1938.[21] We subtract re-exports according to the data from United Kingdom (colonies) Statistical yearbook in 1913 and since 1922, using the 1913 figure (only 0.6% - as much as in the interwar years) before 1913. We deflate imports 1827-1849 with the Federico-Tena import price index for Jamaica, and all other figures with the indexes for Trinidad and Tobago. St.Lucia (Winward Island) Saint Lucia was named after Saint Lucy of Syracuse by the French, Britain took control of the island from 1663 to 1667; in ensuing years, it was at war with France 14 times and rule of the island changed frequently before British took definitive control of the island in 1814 considering St Lucia part of the British Windward Islands colony. We get data of trade at current prices from Danson (1849) for 1827-1846 and from United Kingdom (colonies) Statistical Yearbook from 1853 to 1940[22]. We interpolate the series from 1847 to 1852 and we extrapolate exports to 1816 with British imports from the West Indies 1816 to 1826, from United Kingdom Yearbooks 1830 and from United Kingdom (colonies) Statistical Yearbook from 1853 to 1938.[23]  We subtract re-exports according to the data from United Kingdom (colonies) Statistical yearbook in 1913 and since 1922, using the 1913 figure (only 3.4% - a bit less than after 1922) before 1913. We deflate imports 1827-1849 with the Federico-Tena import price index for Jamaica, and all other figures with the indexes for Trinidad and Tobago. St.Pierre and Miquelon Is one of early settlement by Europeans taking advantage of the rich fishing grounds near New Founland, and is characterized by periods of conflict between the French and British. France finally reclaimed the islands after Napoleon's second abdication in 1815, and there followed 70 years of prosperity for the French fishing industry and residents. We get series of trade at current prices in French francs from France. Statistical Yearbook (1939) since 1881 and Statistical Yearbook. France (colonies) Tableau, for the years 1841-1880. As France series of exports and imports from 1847 backwards are valued in fixed prices we reflate export series to get current prices from 1841-1847 using Newfounland Federico-Tena price index. We extrapolate backwards exports from 1841 to 1820 with the USA exports series. We finally deflate current series to get constant prices with New Founland  Federico-Tena price index for the whole series."
AMERICA,Surinam (Duch Guyana):,"The first attempts to settle the area by Europeans was in 1630. By the Treaty of Breda, the Dutch could keep occupying Suriname and the British the formerly Dutch Colony, New Amsterdam, (modern-day New York).  The slave plantations were producing sugar, coffee, cocoa, cotton which were exported for the Amsterdam market. The Dutch abolished slavery only in 1863, but the slaves were, however, not released until 1873; up to that date they conducted obligatory but paid work at the plantations. Mitchell (2007) reports data of exports and imports in million guldens since 1850. We extrapolate exports with the series for British Guyana to 1820. We deflate exports before 1850 with the Federico-Tena price index for Martinique, exports after 1850 and imports 1850-1938 with Federico-Tena price indexes."
